ad_id;Street;City_Code
243;Dambachtal; Wiesbaden (65193);Dambachtal,  Wiesbaden (65193);3.4727
244;Kohlheck; Wiesbaden (65199);Kohlheck,  Wiesbaden (65199);3.3705
245;Biebricher Allee; Wiesbaden (65187);Biebricher Allee,  Wiesbaden (65187);3.3993
246;Kohlheck; Wiesbaden (65199);Kohlheck,  Wiesbaden (65199);3.3705
247;Veilchenweg 68; Wiesbaden (65201);Veilchenweg 68,  Wiesbaden (65201);
248;Kohlheck; Wiesbaden (65199);Kohlheck,  Wiesbaden (65199);3.3705
249;Zentrum; Wiesbaden (65183);Zentrum,  Wiesbaden (65183);3.4357
250;Dotzheim - Mitte; Wiesbaden (65199);Dotzheim - Mitte,  Wiesbaden (65199);3.3439
251;Beethovenstrasse; Wiesbaden (65189);Beethovenstrasse,  Wiesbaden (65189);3.466
252;Freudenberg; Wiesbaden / Schierstein (65201);Freudenberg,  Wiesbaden / Schierstein (65201);3.2848
253;Auringen - Mitte; Wiesbaden (65207);Auringen - Mitte,  Wiesbaden (65207);
254;Gräselberg; Wiesbaden (65187);Gräselberg,  Wiesbaden (65187);3.3617
255;Klarenthal - Nord; Wiesbaden (65197);Klarenthal - Nord,  Wiesbaden (65197);
256;Gibb; Wiesbaden (65203);Gibb,  Wiesbaden (65203);3.3789
257;Gibb; Wiesbaden (65203);Gibb,  Wiesbaden (65203);3.3789
258;Gibb; Wiesbaden (65203);Gibb,  Wiesbaden (65203);
259;Gibb; Wiesbaden (65203);Gibb,  Wiesbaden (65203);3.3789
260;Gräselberg; Wiesbaden (65187);Gräselberg,  Wiesbaden (65187);3.3617
261;Gibb; Wiesbaden (65203);Gibb,  Wiesbaden (65203);3.3789
262;Riederbergstrasse; Wiesbaden (65195);Riederbergstrasse,  Wiesbaden (65195);3.439
263;Naurod - Sud; Wiesbaden (65207);Naurod - Sud,  Wiesbaden (65207);
264;Eigenheim; Wiesbaden (65193);Eigenheim,  Wiesbaden (65193);3.5015
265;Schierstein - Mitte; Wiesbaden / Schierstein (65201);Schierstein - Mitte,  Wiesbaden / Schierstein (65201);
266;Hochfeld; Wiesbaden (65205);Hochfeld,  Wiesbaden (65205);3.5058
267;Birnbaum; Wiesbaden / Sonnenberg (65191);Birnbaum,  Wiesbaden / Sonnenberg (65191);3.5456
268;Birnbaum; Wiesbaden / Sonnenberg (65191);Birnbaum,  Wiesbaden / Sonnenberg (65191);3.5456
269;Igstadt - Mitte; Wiesbaden (65207);Igstadt - Mitte,  Wiesbaden (65207);
270;Sooderstrasse; Wiesbaden Sonnenberg (65191);Sooderstrasse,  Wiesbaden Sonnenberg (65191);3.517
271;Zentrum; Wiesbaden (65183);Zentrum,  Wiesbaden (65183);3.4357
272;Sonnenberg - Mitte; Wiesbaden (65191);Sonnenberg - Mitte,  Wiesbaden (65191);
273;Gibb; Wiesbaden (65203);Gibb,  Wiesbaden (65203);3.3789
274;Gibb; Wiesbaden (65203);Gibb,  Wiesbaden (65203);3.3789
275;Gibb; Wiesbaden (65203);Gibb,  Wiesbaden (65203);3.3789
276;Gibb; Wiesbaden (65203);Gibb,  Wiesbaden (65203);
277;Gibb; Wiesbaden (65203);Gibb,  Wiesbaden (65203);
278;Gibb; Wiesbaden (65203);Gibb,  Wiesbaden (65203);3.3789
279;Nordenstadt - West; Wiesbaden (65205);Nordenstadt - West,  Wiesbaden (65205);
280;Zentrum; Wiesbaden (65185);Zentrum,  Wiesbaden (65185);3.4357
281;Delkenheim - Mitte; Wiesbaden (65205);Delkenheim - Mitte,  Wiesbaden (65205);
282;Speierlingstrasse 48; Wiesbaden (65191);Speierlingstrasse 48,  Wiesbaden (65191);3.5542
283;Schelmengraben; Wiesbaden (65199);Schelmengraben,  Wiesbaden (65199);3.3255
284;Biebrich - Mitte; Wiesbaden (65203);Biebrich - Mitte,  Wiesbaden (65203);
285;Gräselberg; Wiesbaden (65187);Gräselberg,  Wiesbaden (65187);3.3617
286;Erbenheim - Mitte; Wiesbaden (65205);Erbenheim - Mitte,  Wiesbaden (65205);
287;Nordenstadt - Ost; Wiesbaden (65205);Nordenstadt - Ost,  Wiesbaden (65205);
288;Auringen - Mitte; Wiesbaden (65207);Auringen - Mitte,  Wiesbaden (65207);
289;Riederbergstrasse; Wiesbaden (65195);Riederbergstrasse,  Wiesbaden (65195);3.439
290;Hasengartenstrasse; Wiesbaden (65189);Hasengartenstrasse,  Wiesbaden (65189);3.4452
291;Lessingstrasse; Wiesbaden (65189);Lessingstrasse,  Wiesbaden (65189);3.4535
292;Daimlerstrasse / Fischbacher Strasse; Wiesbaden (65197);Daimlerstrasse / Fischbacher Strasse,  Wiesbaden (65197);
293;Sudfriedhof; Wiesbaden (65187);Sudfriedhof,  Wiesbaden (65187);3.4591
294;Komponistenviertel; Wiesbaden (65193);Komponistenviertel,  Wiesbaden (65193);
295;Gräselberg; Wiesbaden (65187);Gräselberg,  Wiesbaden (65187);3.3617
296;Mosbachtal; Wiesbaden (65187);Mosbachtal,  Wiesbaden (65187);
297;Gibb; Wiesbaden (65203);Gibb,  Wiesbaden (65203);3.3789
298;Gräselberg; Wiesbaden (65187);Gräselberg,  Wiesbaden (65187);3.3617
299;Gibb; Wiesbaden (65203);Gibb,  Wiesbaden (65203);3.3789
300;Waldstrasse; Wiesbaden (65197);Waldstrasse,  Wiesbaden (65197);
301;Städtische Kliniken; Wiesbaden (65201);Städtische Kliniken,  Wiesbaden (65201);
302;Zentrum; Wiesbaden (65183);Zentrum,  Wiesbaden (65183);
303;Zentrum; Wiesbaden (65183);Zentrum,  Wiesbaden (65183);3.4357
304;Freudenberg; Wiesbaden (65201);Freudenberg,  Wiesbaden (65201);3.3139
305;Komponistenviertel; Wiesbaden (65193);Komponistenviertel,  Wiesbaden (65193);
306;Hasengartenstrasse; Wiesbaden (65189);Hasengartenstrasse,  Wiesbaden (65189);3.4452
307;Naurod - Nord; Wiesbaden / Naurod (65207);Naurod - Nord,  Wiesbaden / Naurod (65207);
308;Rheinstrasse / Dotzheimer Strasse; Wiesbaden (65185);Rheinstrasse / Dotzheimer Strasse,  Wiesbaden (65185);
309;Auringen - Mitte; Wiesbaden (65207);Auringen - Mitte,  Wiesbaden (65207);
310;Kloppenheim - Mitte; Wiesbaden (65207);Kloppenheim - Mitte,  Wiesbaden (65207);
311;Nordenstadt - Ost; Wiesbaden (65205);Nordenstadt - Ost,  Wiesbaden (65205);
312;Medenbach - Mitte; Wiesbaden (65207);Medenbach - Mitte,  Wiesbaden (65207);
313;Kurt-Schumacher-Ring; Wiesbaden (65195);Kurt-Schumacher-Ring,  Wiesbaden (65195);3.4253
314;Freudenberg; Wiesbaden (65201);Freudenberg,  Wiesbaden (65201);
315;Gibb; Wiesbaden (65203);Gibb,  Wiesbaden (65203);
316;Gibb; Wiesbaden (65203);Gibb,  Wiesbaden (65203);3.3789
