ad_id;Street;City_Code;;;;;;
184;Saarstrasse 7; Euskirchen (53879);Saarstrasse 7,  Euskirchen (53879);245;;;;
185;Gutenbergstr. 12; Euskirchen (53879);Gutenbergstr. 12,  Euskirchen (53879);295;;;;
186;Auringen - Mitte; Wiesbaden (65207);Auringen - Mitte,  Wiesbaden (65207);0;;;;
187;Nordenstadt - West; Wiesbaden (65205);Nordenstadt - West,  Wiesbaden (65205);0;;;;
188;Freudenberg; Wiesbaden (65201);Freudenberg,  Wiesbaden (65201);245;;;;
189;Eisenacher Strasse 41; Wiesbaden (65191);Eisenacher Strasse 41,  Wiesbaden (65191);260;;;;
190;Birnbaum; Wiesbaden / Sonnenberg (65191);Birnbaum,  Wiesbaden / Sonnenberg (65191);200;;;;
191;Nordenstadt - West; Wiesbaden (65205);Nordenstadt - West,  Wiesbaden (65205);0;;;;
192;Speierlingstrasse 46; Wiesbaden (65191);Speierlingstrasse 46,  Wiesbaden (65191);205;;;;
193;Speierlingstrasse 46; Wiesbaden (65191);Speierlingstrasse 46,  Wiesbaden (65191);205;;;;
194;Anhalterweg 4; Wiesbaden (65191);Anhalterweg 4,  Wiesbaden (65191);185;;;;
195;Anhalterweg 2; Wiesbaden (65191);Anhalterweg 2,  Wiesbaden (65191);185;;;;
196;Kostheimer Flur; Wiesbaden (55246);Kostheimer Flur,  Wiesbaden (55246);0;;;;
197;Sooderstrasse; Wiesbaden (65193);Sooderstrasse,  Wiesbaden (65193);290;;;;
198;Rambach - Mitte; Wiesbaden (65207);Rambach - Mitte,  Wiesbaden (65207);0;;;;
199;Am Wolfsfeld 20; Wiesbaden (65191);Am Wolfsfeld 20,  Wiesbaden (65191);445;;;;
200;Breckenheim - Mitte; Wiesbaden (65207);Breckenheim - Mitte,  Wiesbaden (65207);0;;;;
201;Schau-Ins-Land; Wiesbaden (65189);Schau-Ins-Land,  Wiesbaden (65189);135;;;;
202;Westend; Wiesbaden (65195);Westend,  Wiesbaden (65195);1225;;;;
203;Rheingauviertel; Wiesbaden (65197);Rheingauviertel,  Wiesbaden (65197);989;;;;
204;Städtische Kliniken; Wiesbaden (65201);Städtische Kliniken,  Wiesbaden (65201);0;;;;
205;Breckenheim - Mitte; Wiesbaden (65207);Breckenheim - Mitte,  Wiesbaden (65207);0;;;;
206;Nerotal; Wiesbaden (65193);Nerotal,  Wiesbaden (65193);430;;;;
207;Kurhausstrasse 8; Wiesbaden (65183);Kurhausstrasse 8,  Wiesbaden (65183);0;;;;
208;Riederbergstrasse; Wiesbaden (65195);Riederbergstrasse,  Wiesbaden (65195);1000;;;;
209;Komponistenviertel; Wiesbaden (65193);Komponistenviertel,  Wiesbaden (65193);0;;;;
210;Kostheim - Mitte; Wiesbaden (55246);Kostheim - Mitte,  Wiesbaden (55246);0;;;;
211;Sauerland I; Wiesbaden / Dotzheim (65199);Sauerland I,  Wiesbaden / Dotzheim (65199);275;;;;
212;Nordenstadt - West; Wiesbaden (65205);Nordenstadt - West,  Wiesbaden (65205);0;;;;
213;Lessingstrasse; Wiesbaden (65189);Lessingstrasse,  Wiesbaden (65189);635;;;;
214;Schierstein - Mitte; Wiesbaden (65201);Schierstein - Mitte,  Wiesbaden (65201);0;;;;
215;Fanny Lewald Strasse -; Wiesbaden (65197);Fanny Lewald Strasse -,  Wiesbaden (65197);470;;;;
216;Delkenheim - Sud; Wiesbaden (65205);Delkenheim - Sud,  Wiesbaden (65205);0;;;;
217;Wolfsfeld; Wiesbaden (65191);Wolfsfeld,  Wiesbaden (65191);335;;;;
218;Hessloch - Mitte; Wiesbaden (65207);Hessloch - Mitte,  Wiesbaden (65207);0;;;;
219;Biebrich - Mitte; Wiesbaden (65203);Biebrich - Mitte,  Wiesbaden (65203);0;;;;
220;Bierstadter Flur; Wiesbaden / Bierstadt (65191);Bierstadter Flur,  Wiesbaden / Bierstadt (65191);0;;;;
221;Bierstadt - Mitte; Wiesbaden (65191);Bierstadt - Mitte,  Wiesbaden (65191);0;;;;
222;Speierlingstrasse 46; Wiesbaden (65191);Speierlingstrasse 46,  Wiesbaden (65191);205;;;;
223;Speierlingstrasse 46; Wiesbaden (65191);Speierlingstrasse 46,  Wiesbaden (65191);205;;;;
224;Speierlingstrasse 46; Wiesbaden (65191);Speierlingstrasse 46,  Wiesbaden (65191);205;;;;
225;Aukammtal; Wiesbaden (65191);Aukammtal,  Wiesbaden (65191);315;;;;
226;Siedlung Kostheim; Mainz-Kostheim (55246);Siedlung Kostheim,  Mainz-Kostheim (55246);0;;;;
227;Siedlung Kostheim; Mainz-Kostheim (55246);Siedlung Kostheim,  Mainz-Kostheim (55246);0;;;;
228;Siedlung Kostheim; Mainz-Kostheim (55246);Siedlung Kostheim,  Mainz-Kostheim (55246);0;;;;
229;Siedlung Kostheim; Mainz-Kostheim (55246);Siedlung Kostheim,  Mainz-Kostheim (55246);0;;;;
